date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:39	153/153	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Jun%202025%2020:18:01%20GMT	https://agar.io/robots.txt		(from )
22:17:39	8573/8573	---MC-	200	added ('OK')	text/html	date:Sat,%2028%20Jun%202025%2020:15:46%20GMT	https://agar.io/	C:/Mes%20Sites%20Web/Mytox.io/agar.io/index.html	(from )
22:17:41	195346/195346	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268343f1a-2fb12%22	http://api.adinplay.com/libs/aiptag/pub/MIN/agar.io/tag.min.js	C:/Mes%20Sites%20Web/Mytox.io/api.adinplay.com/libs/aiptag/pub/MIN/agar.io/tag.min.js	(from https://agar.io/)
22:17:41	969/969	---M--	200	added ('OK')	image/png	etag:%2267e1868e-3c9%22	https://agar.io/favicon-32x32.png	C:/Mes%20Sites%20Web/Mytox.io/agar.io/favicon-32x32.png	(from https://agar.io/)
22:17:41	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2028%20Jun%202025%2020:18:04%20GMT	http://connect.facebook.net/en_US/fbevents.js	C:/Mes%20Sites%20Web/Mytox.io/connect.facebook.net/en_US/fbevents.2.delayed	(from https://agar.io/)
22:17:42	297157/297157	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2028%20Jun%202025%2020:18:04%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Mes%20Sites%20Web/Mytox.io/connect.facebook.net/en_US/fbevents.js	(from https://agar.io/)
22:17:42	131455/131455	---M--	200	added ('OK')	text/css	etag:%2267e1868e-2017f%22	https://agar.io/css/styles.d8847cfc34ebe33e76e6.css	C:/Mes%20Sites%20Web/Mytox.io/agar.io/css/styles.d8847cfc34ebe33e76e6.css	(from https://agar.io/)
22:17:42	719243/719243	---M--	200	added ('OK')	application/javascript	etag:%2267e1868e-af98b%22	https://agar.io/bundle_commons.b468163ba6df4fd18aa2.js	C:/Mes%20Sites%20Web/Mytox.io/agar.io/bundle_commons.b468163ba6df4fd18aa2.js	(from https://agar.io/)
22:17:43	788527/788527	---M--	200	added ('OK')	application/javascript	etag:%2267e1868e-c082f%22	https://agar.io/bundle_start.d8847cfc34ebe33e76e6.js	C:/Mes%20Sites%20Web/Mytox.io/agar.io/bundle_start.d8847cfc34ebe33e76e6.js	(from https://agar.io/)
22:17:44	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2028%20Jun%202025%2020:18:05%20GMT	http://connect.facebook.net/en_US/sdk.js	C:/Mes%20Sites%20Web/Mytox.io/connect.facebook.net/en_US/sdk.js	(from https://agar.io/)
22:17:44	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%223c8f4c827bb5168940927b9a7b3e0bee%22	https://connect.facebook.net/en_US/sdk.js	C:/Mes%20Sites%20Web/Mytox.io/connect.facebook.net/en_US/sdk.js	(from https://agar.io/)
22:17:45	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2028%20Jun%202025%2020:18:07%20GMT	http://imasdk.googleapis.com/js/sdkloader/ima3.js	C:/Mes%20Sites%20Web/Mytox.io/imasdk.googleapis.com/js/sdkloader/ima3.a.delayed	(from https://agar.io/)
22:17:45	4591927/4591927	---M--	200	added ('OK')	application/javascript	etag:%2267e1868e-461137%22	https://agar.io/mc/agario.js?v=ad018da534367133c395114792773d74	C:/Mes%20Sites%20Web/Mytox.io/agar.io/mc/agario4bdb.js	(from https://agar.io/)
22:17:45	462849/462849	---M--	200	added ('OK')	text/javascript	etag:9672451976860038059	https://imasdk.googleapis.com/js/sdkloader/ima3.js	C:/Mes%20Sites%20Web/Mytox.io/imasdk.googleapis.com/js/sdkloader/f.txt	(from https://agar.io/)
22:17:45	10215/10215	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c88d625098ddb649cf216dba2e52435c%22	https://static.zdassets.com/ekr/snippet.js?key=e34c6330-b746-4fbd-a9f7-642ee8fbed1c	C:/Mes%20Sites%20Web/Mytox.io/static.zdassets.com/ekr/snippet2f39.js	(from https://agar.io/)
22:17:46	65213/65213	---M--	200	added ('OK')	application/javascript	etag:%2267e1868e-febd%22	https://agar.io/agario.core.js?v=58fad2306ad5a0113f78cc21443052a2	C:/Mes%20Sites%20Web/Mytox.io/agar.io/agario.coref690.js	(from https://agar.io/)
22:17:46	1874609/1874609	---M--	200	added ('OK')	application/javascript	etag:%2267e1868e-1c9ab1%22	https://agar.io/bundle_end.cf164fea0769e85416c2.js	C:/Mes%20Sites%20Web/Mytox.io/agar.io/bundle_end.cf164fea0769e85416c2.js	(from https://agar.io/)
22:17:46	961/961	---M--	200	added ('OK')	text/javascript	date:Fri,%2030%20Jun%202023%2018:58:00%20GMT	https://www.google-analytics.com/cx/api.js?experiment=mpvbHnN-QF2vR9SGzcIcRQ	C:/Mes%20Sites%20Web/Mytox.io/www.google-analytics.com/cx/api9b23.js	(from https://agar.io/)
22:17:47	14675/14675	---M--	200	added ('OK')	application/javascript	etag:%22674265de3bc4515f99e84fbdd28f2e8f%22	https://cdn.applixir.com/applixir.sdk3.0m.js	C:/Mes%20Sites%20Web/Mytox.io/cdn.applixir.com/applixir.sdk3.0m.js	(from https://agar.io/)
22:17:47	153/153	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Jun%202025%2020:18:10%20GMT	https://agar.io/a	C:/Mes%20Sites%20Web/Mytox.io/agar.io/a	(from https://connect.facebook.net/en_US/fbevents.js)
22:17:48	153/153	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Jun%202025%2020:18:10%20GMT	https://agar.io/POST	C:/Mes%20Sites%20Web/Mytox.io/agar.io/POST	(from https://connect.facebook.net/en_US/fbevents.js)
22:17:48	153/153	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Jun%202025%2020:18:10%20GMT	https://agar.io/b.resolvedLink	C:/Mes%20Sites%20Web/Mytox.io/agar.io/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
22:17:48	153/153	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Jun%202025%2020:18:10%20GMT	https://agar.io/d	C:/Mes%20Sites%20Web/Mytox.io/agar.io/d	(from https://connect.facebook.net/en_US/fbevents.js)
22:17:48	153/153	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Jun%202025%2020:18:11%20GMT	https://agar.io/signals/iwl.js	C:/Mes%20Sites%20Web/Mytox.io/agar.io/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
22:17:49	153/153	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Jun%202025%2020:18:11%20GMT	https://agar.io/c.dl	C:/Mes%20Sites%20Web/Mytox.io/agar.io/c.dl	(from https://connect.facebook.net/en_US/fbevents.js)
22:17:49	153/153	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Jun%202025%2020:18:11%20GMT	https://agar.io/schema.org/	C:/Mes%20Sites%20Web/Mytox.io/agar.io/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
22:17:49	153/153	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Jun%202025%2020:18:11%20GMT	https://agar.io/c.rl	C:/Mes%20Sites%20Web/Mytox.io/agar.io/c.17.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
22:17:50	49122/49122	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2267e1868e-bfe2%22	https://agar.io/fonts/Oxygen-Bold.eot	C:/Mes%20Sites%20Web/Mytox.io/agar.io/fonts/Oxygen-Bold.eot	(from https://agar.io/css/styles.d8847cfc34ebe33e76e6.css)
22:17:50	49122/49122	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2267e1868e-bfe2%22	https://agar.io/fonts/Oxygen-Bold.eot?	C:/Mes%20Sites%20Web/Mytox.io/agar.io/fonts/Oxygen-Boldd41d.eot	(from https://agar.io/css/styles.d8847cfc34ebe33e76e6.css)
22:17:50	108138/108138	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267e1868e-1a66a%22	https://agar.io/fonts/Oxygen-Bold.svg	C:/Mes%20Sites%20Web/Mytox.io/agar.io/fonts/Oxygen-Bold.svg	(from https://agar.io/css/styles.d8847cfc34ebe33e76e6.css)
22:17:50	28600/28600	---M--	200	added ('OK')	font/woff	etag:%2267e1868e-6fb8%22	https://agar.io/fonts/Oxygen-Bold.woff	C:/Mes%20Sites%20Web/Mytox.io/agar.io/fonts/Oxygen-Bold.woff	(from https://agar.io/css/styles.d8847cfc34ebe33e76e6.css)
22:17:51	48812/48812	---M--	200	added ('OK')	application/octet-stream	etag:%2267e1868e-beac%22	https://agar.io/fonts/Oxygen-Bold.ttf	C:/Mes%20Sites%20Web/Mytox.io/agar.io/fonts/Oxygen-Bold.ttf	(from https://agar.io/css/styles.d8847cfc34ebe33e76e6.css)
22:17:51	48430/48430	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2267e1868e-bd2e%22	https://agar.io/fonts/Oxygen.eot	C:/Mes%20Sites%20Web/Mytox.io/agar.io/fonts/Oxygen.eot	(from https://agar.io/css/styles.d8847cfc34ebe33e76e6.css)
22:17:51	48430/48430	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2267e1868e-bd2e%22	https://agar.io/fonts/Oxygen.eot?	C:/Mes%20Sites%20Web/Mytox.io/agar.io/fonts/Oxygend41d.eot	(from https://agar.io/css/styles.d8847cfc34ebe33e76e6.css)
22:17:51	113005/113005	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267e1868e-1b96d%22	https://agar.io/fonts/Oxygen.svg	C:/Mes%20Sites%20Web/Mytox.io/agar.io/fonts/Oxygen.svg	(from https://agar.io/css/styles.d8847cfc34ebe33e76e6.css)
